scenario id,user,assistant - extended,assistant - short,assistant - details,assistant - risk id,assistant - risk description,assistant - vulnerability id,assistant - vulnerability description,assistant - risk occurrence type
 S26, Staff is trained, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to know whether the staff is adequately trained, M21, Masking, V16, Untrained staff,Potential
 S148, Inside the Reserved Areas there are no devices for reproducing paper documents and the prints produced by the PC used for the maximum level CONFIDENTIAL information are controlled, The described scenario presents no known security threats., No,,,,,,
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M22, Hidden access doors, V7, Untested software applications, Potential
 S18, Platform logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M5, Trojan Horse Attack, V14, Inadequate supervision, Potential
 S31, There is no log of changes made to the system, The described scenario presents at least one security threat., Yes, It is not possible to control the changes made to the system, M4, Asynchronous attack, V3, Uncontrolled changes to the application software, Real
 S154,"The company headquarters is adjacent to other industrial plants, separated from them by fences, which in some places are interrupted due to landslides, and with the walls of the building surrounded by parking areas for employees' cars on all sides, with an entrance gate that is normally open and not controlled during working hours.", The described scenario presents at least one security threat., Yes, The security measures for access to the premises are not suitable, M25, Sabotage, V32, Inadequate access control to the CED area, Real
 S168,"The access and exit of employees and visitors to the CIS Service are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M4, Asynchronous attack, V3, Uncontrolled changes to the application software, Real
 S168,"The access and exit of employees and visitors to the CIS Platform are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M5, Trojan Horse Attack, V8, Inadequate logical access control, Real
 S51, The computers process high-level classified data and TEMPEST protection measures are adopted in accordance with the results of the TEMPEST Zoning carried out, The described scenario presents no known security threats., No,,,,,,
 S43,Anyone can connect any external drive to the system or their work computer, The described scenario presents at least one security threat., Yes, There is no control over external storage media, M12, Accidental damage to media, V18, Improper manipulation of mass storage devices, Real
 S90, Eating/drinking is permitted near the servers and terminals, The described scenario presents at least one security threat., Yes, User activity may cause accidental damage to the system making it non-functional, M20, Service interruption, V14, Inadequate supervision, Real
 S68," The system is put into operation and used as is, without any prior or subsequent checks.", The described scenario presents at least one security threat., Yes, System security is not evaluated, M6, Computer virus attack, V14, Inadequate supervision, Real
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M22, Hidden access doors, V2, Uncontrolled changes to the operating system, Potential
 S96, There are no special procedures during the processing of sensitive data, The described scenario presents at least one security threat., Yes, It is possible to impersonate another user, M21, Masking, V25, Insufficient information surveillance, Real
 S68," The system is put into operation and used as is, without any prior or subsequent checks.", The described scenario presents at least one security threat., Yes, System security is not evaluated, M20, Service interruption, V14, Inadequate supervision, Real
 S160, Users have access to configuration/administration procedures and management tools, The described scenario presents at least one security threat., Yes, Users must not have access to configuration/administration procedures and management tools, M28, Network worm, V14, Inadequate supervision, Real
 S164," The CIS Application services are managed based on user access rights, identification and assignment of access rights are managed directly by the system users.", The described scenario presents at least one security threat., Yes, Only the CIS Security Officer and the System Administrator must manage the users and assign the related rights, M7, Logic bombs, V9, Non-existent logical access procedures, Real
 S187,The maximum classification level of the information processed is SECRET but it is not considered necessary to adopt TEMPEST protection measures for the equipment and communication networks used in the CIS system in question., The described scenario presents at least one security threat., Yes, The possibility of not adopting TEMPEST safety measures can only be assessed following the implementation of a TEMPEST Zoning, M19, Electromagnetic interference, V1, Communication channels not adequately protected, Real
 S72, There are no antivirus programs installed on the system, The described scenario presents at least one security threat., Yes, The system is vulnerable to malware, M10, Covert storage channel, V4, Failure to periodically check the procedures installed on the system, Real
 S110, Computers and servers are delivered to the equipment maintenance technicians for repair with the mass storage media inserted., The described scenario presents at least one security threat., Yes, Technicians can steal data, M26, Unnoticed data theft, V14, Inadequate supervision, Real
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M11, Covert timing channel, V3, Uncontrolled changes to the application software, Potential
 S66, There are no specific procedures for controlling the development of new software created directly by the company, The described scenario presents at least one security threat., Yes, The suitability and safety of the developed software are not evaluated, M26, Unnoticed data theft, V7, Untested software applications, Real
 S86,Users are allowed to leave their workstations without having to take any special precautions., The described scenario presents at least one security threat., Yes,The workstations are not properly locked in the absence of the user, M5, Trojan Horse Attack, V9, Non-existent logical access procedures, Real
 S44, Is there any control over external drives connected to the system or your work computer?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, The ways in which external storage media are controlled are not detailed enough, M28, Network worm, V14, Inadequate supervision, Potential
 S43,Anyone can connect any external drive to the system or their work computer, The described scenario presents at least one security threat., Yes, There is no control over external storage media, M25, Sabotage, V14, Inadequate supervision, Real
 S168,"The access and exit of employees and visitors to the CIS Application are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M10, Covert storage channel, V7, Untested software applications, Real
 S130," Authorized visitors can, in principle, access restricted areas", The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is unclear how visitors are monitored., M25,Sabotage, V33, Lack of access control to the CED area, Potential
 S156," It is up to the sensitivity of the staff to ensure compliance with the application of safety procedures, which are described for this purpose in the ""Internal Safety Regulations"" of each location, where the safety measures adopted are indicated in detail.", The described scenario presents at least one security threat., Yes, There is no provision for enforcing the application of safety measures by managers towards all personnel., M26, Unnoticed data theft, V14, Inadequate supervision, Real
 S64, Any software can be installed on the system, The described scenario presents at least one security threat., Yes, The system may run uncontrolled and unauthorized software, M4, Asynchronous attack, V3, Uncontrolled changes to the application software, Real
 S12," Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The access credentials are nominative and it is forbidden to reveal them to third parties", The described scenario presents no known security threats., No,,,,,,
 S23, There are written procedures, The scenario is not sufficiently characterized to perform a preliminary analysis., More,It is not possible to know with sufficient certainty whether users can refer to correct procedures, M7, Logic bombs, V16, Untrained staff, Potential
 S124, The external perimeter is protected by a net, The scenario is not sufficiently characterized to perform a preliminary analysis., More,It is not possible to understand if the technical characteristics are adequate, M15, Physical theft of media, V32, Inadequate access control to the CED area, Potential
 S153,"At the end of an event that requires the implementation of emergency procedures, the Security Officer orders the immediate resumption of activities, without verifying the consistency of the classified material", The described scenario presents at least one security threat., Yes, The security measures adopted do not allow for the verification of the consistency of the classified material at the end of an emergency, M15, Physical theft of media, V31,Hardware devices that are not physically locked, Real
 S26, Staff is trained, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to know whether the staff is adequately trained, M14, Accidental error, V16, Untrained staff, Potential
 S60, Visitors are not accompanied when authorized, The described scenario presents at least one security threat., Yes, Visitors can sabotage the system, M25, Sabotage, V33,Lack of access control to the CED area, Real
 S127, Are there any procedures for installing new hardware/software?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand whether the procedures are adequate, M6, Computer virus attack, V7, Untested software applications, Potential
 S168,"The access and exit of employees and visitors to the CIS Service are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M14, Accidental error, V6, Insufficient error detection, Real
 S156," It is up to the sensitivity of the staff to ensure compliance with the application of safety procedures, which are described for this purpose in the ""Internal Safety Regulations"" of each location, where the safety measures adopted are indicated in detail.", The described scenario presents at least one security threat., Yes, There is no provision for enforcing the application of safety measures by managers towards all personnel., M6, Computer virus attack, V16, Untrained staff, Real
 S70, No security patches released by the manufacturer are ever applied to the system, The described scenario presents at least one security threat., Yes, The system is vulnerable to new cyber threats, M28, Network worm, V4, Failure to periodically check the procedures installed on the system, Real
 S79, Staff are motivated to follow company policy and there is particular attention to maintaining a peaceful and safety-oriented work environment., The described scenario presents no known security threats., No,,,,,,
 S96, There are no special procedures during the processing of sensitive data, The described scenario presents at least one security threat., Yes, It is easy to insert false information, M17, Entering false information, V10, Incorrect input/output procedures, Real
 S61," Visitors must be authorized in advance to access and are accompanied, during their entire stay in the facility, by the designated personnel. During their stay, they will not be able to access classified information, unless it is provided for by a specific contract and, in this case, they will only be able to access information at the classification level for which they are authorized and for which they have a need to know.", The described scenario presents no known security threats., No,,,,,,
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M11, Covert timing channel, V3,Uncontrolled changes to the application software, Real
 S18, Platform logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M5, Trojan Horse Attack, V9, Non-existent logical access procedures, Potential
 S64, Any software can be installed on the system, The described scenario presents at least one security threat., Yes, The system may run uncontrolled and unauthorized software, M10, Covert storage channel, V23, Unauthorized software applications, Real
 S64, Any software can be installed on the system, The described scenario presents at least one security threat., Yes, The system may run uncontrolled and unauthorized software, M28, Network worm, V23, Unauthorized software applications, Real
 S168,"The access and exit of employees and visitors to the CIS Platform are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M26, Unnoticed data theft, V25, Insufficient information surveillance, Real
 S58, There are no rules or procedures regarding copying digital media and prints., The described scenario presents at least one security threat., Yes, Information can be easily stolen, M26, Unnoticed data theft, V14, Inadequate supervision, Real
 S23, There are written procedures, The scenario is not sufficiently characterized to perform a preliminary analysis., More,It is not possible to know with sufficient certainty whether users can refer to correct procedures, M13, Destruction of the CED area, V12, Untested emergency procedures, Potential
 S18, Platform logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M5, Trojan Horse Attack, V3, Uncontrolled changes to the application software, Potential
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M21, Masking, V14, Inadequate supervision, Potential
 S171, At least once every six months the consistency of the users registered in the CIS Application is verified, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the checks are also conducted on the system or only on the documentation, M27, Violation of login procedures, V8, Inadequate logical access control, Potential
 S18, Platform logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M14, Accidental error, V11, Errors in programs, Potential
 S18, Application logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M7, Logic bombs, V14, Inadequate supervision, Potential
 S31, There is no log of changes made to the system, The described scenario presents at least one security threat., Yes, It is not possible to control the changes made to the system, M20, Service interruption, V23, Unauthorized software applications, Real
 S96, There are no special procedures during the processing of sensitive data, The described scenario presents at least one security threat., Yes, It is highly likely that you will accidentally damage the media, M12, Accidental damage to media, V18, Improper manipulation of mass storage devices, Real
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M26, Unnoticed data theft, V14, Inadequate supervision, Potential
 S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.", The described scenario presents at least one security threat., Yes, The system is vulnerable to data theft/theft, M26, Unnoticed data theft, V21, Insufficient separation of logical work areas, Real
 S127, Are there any procedures for installing new hardware/software?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand whether the procedures are adequate, M20, Service interruption, V23, Unauthorized software applications, Potential
 S116, There are several locations where classified data is processed but only the main one has been approved, The described scenario presents at least one security threat., Yes, Classified data in non-approved locations can be easily stolen, M26, Unnoticed data theft, v14, Inadequate supervision, Real
 S63," Server systems are installed inside special racks and locked onto special containment supports. Furthermore, the racks are anchored to the ground", The described scenario presents no known security threats., No,,,,,,
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M19, Electromagnetic interference, V19, Changing system hardware configuration, Potential
 S18, Platform logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M28, Network worm, V3, Uncontrolled changes to the application software, Potential
 S123, There are armed guards present, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand what their mission is, M25, Sabotage, V32, Inadequate access control to the CED area, Potential
 S10, Anyone can access the system, The described scenario presents at least one security threat., Yes, The system is vulnerable to unauthorized logical access, M1,Queuing access, V8, Inadequate logical access control, Real
 S132, The doors of the reserved areas are closed in the absence of staff but the cabinets are left open, The described scenario presents at least one security threat., Yes, Documents can be easily manipulated, M17, Entering false information, V14, Inadequate supervision, Real
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M28, Network worm, V7, Untested software applications, Potential
 S36," There is a log for access to restricted areas which reports: date and time of access, name of the person accessing, reason for access, who authorised access, date and time of exit, signature of the person accessing and of the person authorised access", The described scenario presents no known security threats., No,,,,,,
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M20, Service interruption, V7, Untested software applications, Potential
 S127, Are there any procedures for installing new hardware/software?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand whether the procedures are adequate, M5, Trojan Horse Attack, V3, Uncontrolled changes to the application software, Potential
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M5, Trojan Horse Attack, V23, Unauthorized software applications, Potential
 S18, Platform logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M26, Unnoticed data theft, V25, Insufficient information surveillance, Potential
 S15," The system is installed in the highest-ranking operating mode, and only authorized users can access documents based on their security clearance level and need-to-know.", The described scenario presents no known security threats., No,,,,,,
 S25,Staff is not trained, The described scenario presents at least one security threat., Yes, The staff does not have adequate training, M9, Searching through the garbage, V15, Ignorance of safety procedures, Real
 S154,"The company headquarters is adjacent to other industrial plants, separated from them by fences, which in some places are interrupted due to landslides, and with the walls of the building surrounded by parking areas for employees' cars on all sides, with an entrance gate that is normally open and not controlled during working hours.", The described scenario presents at least one security threat., Yes, The security measures for access to the premises are not suitable, M15, Physical theft of media, V32, Inadequate access control to the CED area, Real
 S193," The management of the utilities is entrusted to the staff of the parent company, who makes the necessary changes remotely by connecting from another country, communicating the list of added/modified/suspended and cancelled utilities to the CIS Security Officer on a monthly basis.", The described scenario presents at least one security threat., Yes, The utilities must be managed and authorized by the CIS Security Officer, M1, Queuing access, V8, Inadequate logical access control, Real
 S70, No security patches released by the manufacturer are ever applied to the system, The described scenario presents at least one security threat., Yes, The system is vulnerable to new cyber threats, M10, Covert storage channel, V4, Failure to periodically check the procedures installed on the system, Real
 S168,"The access and exit of employees and visitors to the CIS Service are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M28, Network worm, V14, Inadequate supervision, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M3, Flooding, V27, Inadequate flood protection, Potential
 S164," The CIS Platform services are managed based on user access rights, identification and assignment of access rights are managed directly by the system users.", The described scenario presents at least one security threat., Yes, Only the CIS Security Officer and the System Administrator must manage the users and assign the related rights, M21, Masking, V8, Inadequate logical access control, Real
 S56," Anyone can access the CED, without checks", The described scenario presents at least one security threat., Yes, Access to the CED area is not properly controlled, M15, Physical theft of media, V32, Inadequate access control to the CED area, Real
 S187,The maximum classification level of the information processed is SECRET but it is not considered necessary to adopt TEMPEST protection measures for the equipment and communication networks used in the CIS system in question., The described scenario presents at least one security threat., Yes, The possibility of not adopting TEMPEST safety measures can only be assessed following the implementation of a TEMPEST Zoning, M19, Electromagnetic interference, V30, Electromagnetic emanations, Real
 S110, Computers and servers are delivered to the equipment maintenance technicians for repair with the mass storage media inserted., The described scenario presents at least one security threat., Yes, Technicians may install unintended applications, M20, Service interruption, V7, Untested software applications, Real
 S168,"The access and exit of employees and visitors to the CIS Service are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M23,Unconditional access procedure, V7, Untested software applications, Real
 S168,"The access and exit of employees and visitors to the CIS Service are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M27, Violation of login procedures, V7, Untested software applications, Real
 S43,Anyone can connect any external drive to the system or their work computer, The described scenario presents at least one security threat., Yes, There is no control over external storage media, M28, Network worm, V14, Inadequate supervision, Real
 S168,"The access and exit of employees and visitors to the CIS Service are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M7, Logic bombs, V14, Inadequate supervision, Real
 S164," The CIS Service services are managed based on user access rights, identification and assignment of access rights are managed directly by the system users.", The described scenario presents at least one security threat., Yes, Only the CIS Security Officer and the System Administrator must manage the users and assign the related rights, M1, Queuing access, V8, Inadequate logical access control, Real
 S100, Emergency procedures exist but they are known only to managers, The described scenario presents at least one security threat., Yes, Staff do not have access to emergency procedures, M8, Lightning strike, V12, Untested emergency procedures, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M7, Logic bombs, V14, Inadequate supervision, Potential
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M26, Unnoticed data theft, V23, Unauthorized software applications, Real
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M14, Accidental error, V14, Inadequate supervision, Real
 S164," The CIS Platform services are managed based on user access rights, identification and assignment of access rights are managed directly by the system users.", The described scenario presents at least one security threat., Yes, Only the CIS Security Officer and the System Administrator must manage the users and assign the related rights, M27, Violation of login procedures, V8,Inadequate logical access control, Real
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M22, Hidden access doors, V2, Uncontrolled changes to the operating system, Potential
 S166, Audit data analysis is available to all users, The described scenario presents at least one security threat., Yes, Audit data must be available only to security managers and the System Administrator., M26, Unnoticed data theft, V17, Misuse of information by end users, Real
 S35, There is a register for access to restricted areas, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the methods of recording access to restricted areas are adequate, M5, Trojan Horse Attack, V14, Inadequate supervision, Potential
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M27, Violation of login procedures, V2, Uncontrolled changes to the operating system, Potential
 S127, Are there any procedures for installing new hardware/software?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand whether the procedures are adequate, M5, Trojan Horse Attack, V7, Untested software applications, Potential
 S18, Platform logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M6, Computer virus attack, V9,Non-existent logical access procedures, Potential
 S68," The system is put into operation and used as is, without any prior or subsequent checks.", The described scenario presents at least one security threat., Yes, System security is not evaluated, M7, Logic bombs, V4, Failure to periodically check the procedures installed on the system, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M14, Accidental error, V14, Inadequate supervision, Potential
 S145,Authorized personnel who are granted access to classified information are recorded in special registers and are prohibited from taking such information outside the Restricted Areas., The described scenario presents no known security threats., No,,,,,,
 S168,"The access and exit of employees and visitors to the CIS Application are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M6, Computer virus attack, V8, Inadequate logical access control, Real
 S138," If the envelope containing the Application Administrator password is opened, the password remains the same and is only changed when decided by the person who used it.", The described scenario presents at least one security threat., Yes, The System Administrator password management methods are not adequate, M5, Trojan Horse Attack, V9, Non-existent logical access procedures, Real
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M5, Trojan Horse Attack, V23,Unauthorized software applications, Real
 S102," Users can also use passwords made up of identical characters or numbers to access the system, and it is also possible to use empty passwords or passwords of the type ""password"" or ""admin""", The described scenario presents at least one security threat., Yes, The logical access control system is not adequate, M21, Masking, V8, Inadequate logical access control, Real
 S9, A password is required to access the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, Details on password features are missing, M6, Computer virus attack, V10, Incorrect input/output procedures, Potential
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M10, Covert storage channel, V23, Unauthorized software applications, Potential
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M5, Trojan Horse Attack, V7, Untested software applications, Real
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M20, Service interruption, V7, Untested software applications, Real
 S162, The data relating to “user authentication” are available to anyone who requests them., The described scenario presents at least one security threat., Yes,"Credentials must be personal, nominative and must never be shared", M6, Computer virus attack, V8, Inadequate logical access control, Real
 S66, There are no specific procedures for controlling the development of new software created directly by the company, The described scenario presents at least one security threat., Yes, The suitability and safety of the developed software are not evaluated, M26, Unnoticed data theft, V23, Unauthorized software applications, Real
 S112,The printers dedicated to printing classified documents are positioned in the corridors to reduce the generation of dust inside the data processing center and the offices containing the IT equipment. These corridors are located outside the restricted areas, The described scenario presents at least one security threat., Yes, Documents can be easily stolen, M26, Unnoticed data theft, v25,Insufficient information surveillance, Real
 S82," The CED is installed inside a room with plasterboard walls, closed with a normal wooden door", The described scenario presents at least one security threat., Yes, The access door does not provide adequate protection against unauthorized access, M15, Physical theft of media, V32, Inadequate access control to the CED area, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M12, Accidental damage to media, V18, Improper manipulation of mass storage devices, Potential
 S179," Software updates concern only the antivirus, and are done online.", The described scenario presents at least one security threat., Yes, Updates must concern all security and critical components of the system and can only be performed through specific off-line procedures., M19, Electromagnetic interference, V1, Communication channels not adequately protected, Real
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M10, Covert storage channel, V3, Uncontrolled changes to the application software, Potential
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M14, Accidental error, V16, Untrained staff, Real
